Label,Type,Tags,Description,Areas de trabajo,Campos de la nano,Direccion,Provincia,Ciudad,Empresas Incubadas,Image,Linkedin,Productos y/o servicios nano,Region,Servicios,Telefono,email,location,url,web
Agro-Nanotecno,Empresa,Empresas|Empresa,"Nanopartículas innovadoras como alternativa eco-amigable para el manejo de problemáticas agro-ambientales.
Somos un grupo interdisciplinario de investigadores del CONICET apasionados por la ciencia y la innovación. Desarrollamos nanopartículas de síntesis química y biológica, de bajo costo, compatibles con procesos industriales. Nos enfocamos en generar conocimiento en Nanotecnología aplicado a resolver problemas del agro y saneamiento ambiental.","La actividad agrícola de forma intensiva y extensiva genera una elevada demanda de nutrientes del suelo, lo que conlleva a una pérdida de la fertilidad. La nanotecnología tiene potencial para revolucionar el Agro mediante el uso de nanopesticidas, nanofertilizantes y nanos promotoras del crecimiento. En el escenario actual, la agricultura se enfrenta a una amplia gama de desafíos, como el ataque de plagas, la pérdida de la fertilidad del suelo, las condiciones climáticas fluctuantes y la contaminación ambiental. En el área de la nutrición vegetal el uso de la nanofertilizantes presenta diversas ventajas, tales como la liberación lenta y controlada de nutrientes, mejora la fertilidad del suelo, su productividad e incrementa la calidad de productos agrícolas. Además de una buena nutrición vegetal, la utilización de nanopartículas (NPs) incrementa la eficiencia en el uso de fertilizantes, reduciendo contaminación y costos. En Agro-Nanotecno logramos la biosíntesis de NPs con gran potencial para su uso como na...",,INBA-CONICET/FACULTAD DE AGRONOMIA-UBA Av. San Martin 4453 (1417) CABA - Argentina,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/e92a3c65-8535-4111-97b1-fc118d46b2e8.jpg,,"**Productos Nano para el Agro**
- Nanopartículas de plata con actividad bactericida
- Nanopartículas metálicas inductoras de germinación de semillas
- Nanopartículas de cobre con actividad fungicida
- Nanopartículas de zinc, manganeso y magnesio para nutrición vegetal
- Nanopartículas de óxido de hierro promotoras de la nodulación

**Productos Nano para el Ambiente**
- Nanopartículas bimetálicas/magnéticas eficientes en el tratamiento de efluentes y captura de contaminantes
- Hidrogeles nano-biocidas para el tratamiento de aguas",,,(54 11) 55960117 / (54 11) 63637373,rgiacometti@agro.uba.ar spagnole@agro.uba.ar,"-34.59765847938528, -58.48251959691415",,
Orbital Ingeniería,Empresa,Empresas|Empresa,"Orbital Ingeniería es una compañía Argentina radicada en Córdoba desde 1997.
Nuestro equipo de profesionales con amplia experiencia hace posible que nuestros productos satisfagan las más altas exigencias tanto en materia de calidad de los componentes, alta tecnología y facilidad de uso. Desarrollamos proyectos de ingeniería de altísima calidad de diferentes envergaduras para el tratamiento de aguas mediante la fabricación y comercialización de equipos con tecnología de última generación, que permiten optimizar las características físicas, químicas o microbiológicas del agua de acuerdo a las necesidades de cada cliente.
A través de estos años hemos desarrollado desde el ablandamiento y re-uso de agua para hogares, comercios y pequeñas industrias, hasta plantas potabilizadoras de agua para ciudades enteras y desmineralización de agua de mar. Nuestra mayor producción proveé una solución integral para torres de enfriamiento, calderas, agropecuarias (animales, riego, etc.), medicinales (diálisis, farmacopea, et...","Ósmosis Inversa
La ósmosis Inversa es un proceso por el cual, mediante la aplicación de presión sobre una membrana semipermeable, podemos lograr:
- Desalinización
- Reducción de la dureza (ablandamiento)
- Reducción del contenido de nitratos y nitrito
- Eliminación del color y de los precursores de trihalometanos

Equipos de filtración
- Filtros de Sedimentos/Multimedia
- Filtro de Carbón Activado
- Ablandadores/Suavizadores
- Resinas de Intercambio Iónico
- Nano-Filtración
- Ultra-Filtración
- Micro-Filtración

Esterilización
- Esterilizador por Rayos UV
- Unidad Integral Estirilizadora (UV+Ag)

Plantas Completas
- Plantas Potabilizadoras Alta Salinidad Bajo Caudal
- Plantas Potabilizadoras Baja Salinidad Bajo Caudal
- Plantas Compactas
- Tratamiento de Agua para el Campo",,Bv. Rivadavia 4371 - Bº Los Boulevares (5147) Córdoba – Argentina.,Córdoba,,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/8892a78c-f24c-4a34-a2bb-1df2e7204258.png,,,,,+54 351 589-0454 / +54 11 6009-0454,,"-31.42315802209943, -64.15325429172034",www.orbitalingenieria.com.ar,
Tintes Biodegradables S.A.S.,Empresa,,,,,Av. 7 840|La Plata|provincia de Buenos Aires,Buenos Aires,La Plata,,,,,,,,,"-34.91390050804499, -57.950369500344436",,
Electrargen S.R.L.,Empresa,Empresas|Empresa,"Desde hace más de treinta años, Electrargen S.R.L. es una empresa dedicada a proveer equipamiento de laboratorios analíticos de precisión, así como ofrecer asesoramiento de aplicaciones y soporte técnico en empresas de todo tipo, yendo desde la investigación científica hasta aplicaciones industriales.
Nos especializamos en las técnicas de fluorescencia y difracción de rayos X, microscopía electrónica y las preparaciones de muestra que estas técnicas conllevan.",,,"Amenábar No. 653, Piso 9, Of. 27, (C1426AJI), Buenos Aires, Capital Federal, Argentina",CABA,CABA,,,,,,,+ 54 (11) 4555 5376,elec@electrargen.com.ar,"Amenábar No. 653, Piso 9, Of. 27, (C1426AJI), Buenos Aires, Capital Federal, Argentina",www.electrargen.com.ar,
Mabb,Empresa,Ecosistema FAN|Empresas|Empresa|Incubadora,"MABB, fundada en el 2007, es una empresa de bioingeniería de triple impacto y alcance global, que utiliza modernos nanobiomateriales Cerámicos - Zirconia Yttria, y tecnologías CIM - amigables con el medio ambiente, para diseñar y producir piezas que conforman los sistemas de implantes dentales libres de metal; los cuales se comercializarán por empresas propias asociadas creándose en los diversos mercados objetivos, llamadas Z7, y por empresas aliadas con basta trayectoria y prestigio en los mercados, empezando por Argentina y los Estados Unidos de America.

MABB es creada y gestionada por un equipo multidisciplinario de emprendedores, empresarios, inversores, ingenieros, científicos y doctores comprometidos con los propósitos de triple impacto y en innovar constantemente en procesos, tecnologías y biomateriales que generen soluciones y productos de alto valor agregado para las personas, calidad y competitividad para las industrias y el mercado de la salud oral con el propósito de mejorar la calidad de vida...",,,25 de mayo 1021 - (1650) San Martín - Buenos Aires - Argentina,Buenos Aires,San Martín,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/4fdd776d-8ff8-4a30-bd8f-8e27f4ff159b.jpg,,"**Pilares Z7**
Los Pilares Z7 de MABB se producen con el Biomaterial Zirconia Yttria - nanocerámica,
normalizada y aprobada para uso médico. Han sido desarrollados por médicos e ingenieros de prestigio y referencia internacional, tomando en cuenta las necesidades y problemáticas en el mercado de la implantología dental mundial, con el fin de tener un producto de muy alta calidad a costos competitivos.
Con el fin de compartir esta tecnología, tanto en procesos como en biomateriales, y agregar valor a toda la cadena e industria, estos pilares han sido desarrollados para ser universales, con el fin de integrarse con fabricantes tradicionales de implantes de titanio que desarrollan sus propios adaptadores para compatibilizar con sus propios sistemas de implantes actuales, con el fin de cooperar en el mejoramiento de la industria, para llegar todos de manera competitiva a un mercado que hoy está desatendido en un 95% (personas desdentadas).

**Implantes Z7**
Después de más de 15 años de casuística global realiz...",,,(54 11) 2033 1455,info@mabbiomaterial.com,"-34.58166882202662, -58.52120100294337",https://mabbiomaterial.com/,
Wiener Laboratorios S.A.I.C.,Empresa,,"Desarrollamos, fabricamos y comercializamos soluciones integradas que posibilitan diagnósticos IVD en más de 50 países del mundo. Ofrecemos una amplia línea de productos, destinada a laboratorios clínicos y bancos de sangre. Generamos información clave y relevante para la toma de decisiones médicas, entendiendo al laboratorio como un eslabón crucial en la cadena de salud.",,,Moreno 1850|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/b0133784-c729-40cd-82c4-2c972a033897.jpeg,,,,,,,"-34.61217852692573, -58.392519457461894",,
Géminis Farmacéutica S.A.,Empresa,,"Un laboratorio argentino fundado hace más de 30 años. Una empresa comprometida con la comunidad médica, sabiéndose capaz de ofrecer productos de calidad, confiables y accesibles. El cuerpo médico y farmacéutico son el eje de nuestra actividad, la razón de nuestro trabajo diario, la clave de nuestro crecimiento constante.",,,26 de Abril 3425|Ituzaingó|provincia de Buenos Aires,Buenos Aires,Ituzaingó,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/d5213a13-9869-4465-b0e3-0bd23f960e47.png,,,,,,,"-34.63514226592232, -58.700294472492374",,
InsuAgro,Empresa,,"Somos una empresa argentina dedicada a la venta y distribución de fitosanitarios, con amplia trayectoria en el mercado agropecuario.

Participamos en forma activa e innovadora en el negocio, a través de acuerdos de distribución con importantes empresas multinacionales y de la importación de activos para productos propios.",,,Av. Santa Fe 1731|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/2ed8bd2a-0454-4390-a109-cc69f061ac50.png,,,,,,,"-34.595459802920054, -58.39245772205769",,
Latiner S.A.,Empresa,,,,,Santo Domingo 4431|ciudad de Buenos Aires,CABA,CABA,,,,,,,,,"-34.65768164423495, -58.40995902441804",,
Kovi S.R.L.,Empresa,,"Kovi SRL era una empresa textil de La Matanza que se dedicaba a la industria textil. En plena pandemia y en alianza con científicos del CONICET, la UBA y la UNSAM, se propusieron crear ""el mejor barbijo del mundo"". Así nació ATOM PROTECT, el producto conocido como el “barbijo del CONICET",,,Salta 1116|San Miguel|provincia de Buenos Aires,Buenos Aires,San Miguel,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/3fe9fb5e-684d-4758-9137-ac903eb5d3cb.jpeg,,,,,,,"-34.563386826671135, -58.67438361679374",,
iMvalv S.A.,Empresa,,"iMvalv ofrece el primer dispositivo oftalmológico activo e inteligente para regular la presión intraocular derivada de pacientes con glaucoma. Se trata del micro-implante de un microchip que permite aliviar la presión intraocular del ojo y evitar la ceguera.

El glaucoma es una enfermedad ocular que se caracteriza por un aumento patológico de la presión intraocular, debido a la falta de drenaje del humor acuoso. Existen tratamientos farmacológicos y quirúrgicos para reducir esta presión.

Cuando no funcionan, los pacientes usan implantes con válvulas pasivas que drenan el humor acuoso hacia afuera. Sin embargo, estos implantes presentan ciertos problemas, tales como: fibrosis, presión intraocular impredecible, que resulta en hipotonía y obstrucción por partículas.",,,Av. Belgrano 758|Sunchales|provincia de Santa Fe,Santa Fe,Sunchales,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/af314647-9ab3-4298-8862-34ee25b4a0c1.jpeg,,,,,,,"-30.937349973998224, -61.562658406425335",,
MUTECH Microsystems,Empresa,Empresa,"Somos una empresa, radicada en Bariloche, con capacidad para ofrecer una serie de equipos y herramientas de **micro** y **nanofabricación litográfica** para el desarrollo de **sensores** y **dispositivos** con múltiples aplicaciones.

Estamos enfocados en el desarrollo y venta de proyectos, sistemas y equipos para la promoción de la ciencia, tecnología y educación en las áreas de microfabricación, micro y nanomecánica y electrónica.

Nos interesa promover, a través del desarrollo y comercialización de equipos de alta tecnología, la formación de recursos humanos de calidad, para simplificar la generación de nuevos conocimientos y mejorar el acceso del sector productivo a nuevas tecnologías.",Micro y nanofabricación litográfica (Electrónica),,Tronador 3490|San Carlos de Bariloche|provincia de Río Negro,Río Negro,Bariloche,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/c03b9e3b-f2f7-491a-8da3-e88f480450ae.png,,"**microLaser** es un equipo de litografía láser directa de alto valor con capacidades de alineación, dirigido a laboratorios de investigación o universidades. El sistema escribe con una resolución submicrométrica en grandes áreas de hasta 10x9 cm en material fotosensible. Permite la escritura de cualquier cosa que el usuario desee, desde fotomáscaras hasta prototipos de investigación para ciencia básica o aplicada.|**microAligner** es un alineador de máscara UV LED de 365 nm compacto de alto valor diseñado para aplicaciones de microfabricación. Permite una fácil fabricación de dispositivos multicapa en una multitud de fotorresistentes con excelente calidad, gracias a su alta resolución y alta precisión de alineación.|**µCoater**, a pedido de nuestros clientes, hemos desarrollado una recubridora por centrifugación compacta con plato de vacío para la aplicación de películas delgadas de polímeros, fotorresinas, sol-gel, o cualquier otro material o proceso que el cliente necesite.|**µExposer** es una herramien...",,"**Fotomáscaras**

Con nuestro escritor de litografía, podemos proporcionar servicios de fabricación de fotomáscaras de cromo sobre vidrio, que podemos producir rápidamente con funciones de resolución micrométrica.

**Asesorar**

Además de vender equipos, también brindamos servicios de asesoría en microfabricación. Podemos asesorarlo en técnicas de microfluídica, microelectrónica, litografía, fabricación de MEMS, etc. Estamos en contacto con expertos en microfabricación de clase mundial.

**Salas de litografía**

Junto a la venta de equipos ofrecemos el montaje de salas de litografía, incluyendo su acondicionamiento lumínico, asesoría y los equipos asociados para el correcto funcionamiento de la sala.",0294 - 423 7776 / 0294 - 426 3481,martin.sirena@mutech.com.ar lucas.nener@mutech.com.ar,Tronador 3490 San Carlos de Bariloche provincia de Río Negro,https://mutech.com.ar/,
Stämm Bio,Empresa,,"Como empresa de biotecnología, Stämm hace que la producción biotecnológica industrial sea sencilla, escalable y reproducible. Inspirándonos en el ejemplo de la naturaleza, hemos desarrollado la primera tecnología para la producción industrial continua de productos biológicos y terapias celulares, posible gracias al uso de microfluidos e impresión 3D.

Nuestra empresa, fundada en 2016, transforma todo un sistema biotecnológico en un dispositivo de mesa con función ""plug & play"" utilizando el propio flujo laminar de la naturaleza. Nuestro objetivo es descentralizar los bioprocesos y permitir el acceso global a productos biotecnológicos. Esto nos permite facilitar el trabajo de nuestros socios de la industria y respaldar descubrimientos innovadores que cambian la vida de las personas.",,,Maipú 939|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/dda498e5-79ac-4a56-ac07-f1ee7b8e43f1.png,,,,,,,"-34.59631283407286, -58.37720205751783",,
Establecimiento Las chilcas S.A.,Empresa,,"Somos una empresa familiar abocada a la industria agropecuaria desde 1980. Nuestro establecimiento está ubicado al norte de la Provincia de Córdoba, sobre la Ruta Nacional 9 Km 868, entre las localidades de Rayo Cortado y Villa de Maria de Rio Seco. Desde hace más de 30 años nos dedicamos a la producción agrícola a darle valor agregado a nuestros productos/procesos a través del engorde de ganado bovino y porcino, como así también a la industrialización de nuestra materia prima en la producción de alcohol aplicando tecnología e innovación con una mirada sustentable en nuestras acciones.

En los últimos años asumimos el enfoque a mejorar el impacto ambiental de nuestra industria al medio ambiente. Por medio de la implementación de la planta de Bioetanol en 2016 somos capaces de generar energía y alimento a la vez, potenciando el sistema en un circuito cerrado de economía circular. Es así que obtenemos un ahorro en la fertilización de las hectáreas trabajadas aportando no solo nitrógeno si no también fósforo,...",,,Ruta Nacional 9 Km 868|entre las localidades de Rayo Cortado y Villa de María de Río Seco|provincia de Córdoba,Córdoba,Rayo Cortado (en proximidad),,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/3757cdd8-141d-456e-9e8d-67e4bb20b139.png,,,,,,,"-29.884257110130534, -63.80623579606973",,
NanoJump Bio,Empresa,,"En NanoJump Bio, nuestra tecnología facilita la extracción del genoma en cualquier lugar, por cualquier persona y a partir de cualquier muestra. Nuestro dispositivo portátil está estructurado con microcanales que contienen soluciones químicas y nanotecnológicas que inactivan microorganismos (como virus y bacterias) y extraen material genético de forma sencilla y segura, en cualquier lugar y a partir de cualquier muestra. Creemos que el estudio del ADN y el ARN seguirá influyendo en la cadena de valor de múltiples industrias.",,,Av. Montes de Oca 543|Capital Federal,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/0698de93-c588-4f38-8259-7d30a68b2fca.jpeg,,,,,,,"-34.63410723326485, -58.3754534479593",https://nanojump.bio/,
AgIdea SRL,Empresa,,"Nuestra misión es ofrecer servicios de I+D para convertir tecnologías precomerciales en soluciones para una agricultura más segura y respetuosa con el medio ambiente. Transformamos conceptos en realidades con impacto en la producción de alimentos.

Nuestra visión es liderar el mercado global de servicios de I+D como socios estratégicos de nuestros clientes, a través de una agricultura innovadora, segura y respetuosa con el medio ambiente.",,,Ruta 8 km 225.5|Pergamino|provincia de Buenos Aires,Buenos Aires,Pergamino,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/cc0e25fd-386c-4241-a9b0-5a1e471636fc.jpg,,,,,,,"-33.91412479286251, -60.574578877888726",,
Ebers,Empresa,Ecosistema FAN|Empresas|Empresa|Incubadora,"Ebers produce plantillas inteligentes capaces de de medir presiones plantares, temperatura y humedad a lo largo del día en pacientes que padecen diabetes, para así evitar la formación de úlceras.
Todos los datos recopilados por la plantilla se pueden observar y estudiar en su aplicación móvil, tanto por parte del usuario como del médico.",,,,,,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/e4777553-4905-4a70-bdea-fef6f63a5f85.jpg,,,,,,,"-34.581722373549276, -58.5210937145919",http://www.ebersmed.com/,
Kioshi Stone S.A.,Empresa,,"KIOSHI STONE S.A. es la primera empresa en llevar adelante procesos nano tecnológicos industriales para el agro. Posee una vasta experiencia en I+D+i que permite la generación continua de más herramientas para una agricultura de altos rendimientos, baja logística y de una imperceptible huella de carbono (CO2-eq), en relación con otras tecnologías de práctica.

Nuestros productos actúan y proporcionan importantes mejoras de salud del suelo (biota); su interacción inmediata y efecto sinérgico con los ecosistemas logran altos rendimientos en todos los cultivos (extensivos e intensivos); incrementando la actividad biológica y favoreciendo su desarrollo.

Es por ello, que en KIOSHI STONE, día a día seguimos evaluando los beneficios que proporcionan el uso de minerales en tamaño nanométrico, logrando aprovechar su gran capacidad de reacción, con muy bajo requerimiento de energía, en procesos biológicos tan importantes como son las reacciones del suelo y la fotosíntesis, participando en las escalas naturales do...",,,Centenario Uruguayo 957|Lanús|provincia de Buenos Aires,Buenos Aires,Lanús,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/d359b980-8eed-406d-ada4-8d31f3f65cb6.png,,,,,,,"-34.71709611201239, -58.35729805749394",,
Grupo Saporiti S.A.,Empresa,Empresas|Empresa,"Grupo Saporiti provee ingredientes, sabores y soluciones para la industria alimentaria y de bebidas desde 1927. Los ingredientes otorgan a los alimentos características únicas que interactúan con los sentidos humanos. Brindan gratificación sensorial, salud y bienestar a quien los consume, en un marco de bioseguridad.
En un trabajo coordinado realizamos evaluaciones de preferencias, análisis y anticipación de futuras tendencias y desarrollo del producto terminado de acuerdo a los requerimientos de cada cliente y de cada mercado.” Trabajamos mancomunadamente con nuestros clientes, compartiendo con ellos nuestra experiencia, conocimientos y recursos, con el fin de colaborar en el desarrollo de sus ideas y de sus productos.
La misión de Grupo Saporiti S.A. es colaborar con nuestros clientes para lograr el éxito mediante alimentos más ricos, más sanos y más seguros. Colaborar en el desarrollo de ideas y productos.","Grupo Saporiti crea y comercializa sus productos a través de sus cuatro divisiones:

SABORES:
Eso que está y no se ve, pero que conquista al entrar en contacto con el paladar. A partir de un minucioso estudio de los gustos y sabores preferidos por la gente, desarrollamos los siguientes productos:
- Sabores encapsulados secados en frío (sistema spray chilling).
- Sabores dulces (líquidos y en polvo)
- Sabores salados (líquidos y en polvo)
- Emulsiones
- Aceites esenciales

COLORES:
Un estímulo para nuestras retinas. Eso que nos mueve a acercarnos a ellos. Mediante un preciso trabajo de combinación y mezcla, desarrollamos los siguientes colorantes:
- Naturales líquidos y en polvo (carmín, rocú, cúrcuma)
- Sintéticos y en polvo

FUNCIONALES:
Es ese cuerpo, esa textura, esa consistencia que nos permite entrar en contacto con el espíritu del alimento. A partir del análisis de los principales factores de funcionalidad de los alimentos, desarrollamos los siguientes productos
- Estabilizantes
- Emulsionantes
- A...",,"Bartolomé Mitre 2366, Buenos Aires.",CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/c123e3b5-6e9a-4f2c-abcf-99a4bff29032.png,,,,,54.11.5861.6100 / 0800.888.7276,info@gruposaporiti.com,"Bartolomé Mitre 2366, Buenos Aires.",www.gruposaporiti.com,
Bioprofarma Bagó S.A.,Empresa,,"Proveemos medicamentos con alto valor agregado para el cuidado de la salud y tratamientos de enfermedades de elevada complejidad, para pacientes en general y para la comunidad médica y científica.

Nuestros Productos están orientados principalmente para su utilización en patologías Hematológicas, Oncológicas, Urológicas, Neurológicas y en Enfermedades Raras.",,,Terrada 1270|Capital Federal,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/a41f2dc2-0d16-4116-9834-7a9a779f9a68.png,,,,,,,"-34.61620647797584, -58.4738943284653",,
FanIOT,Empresa,Empresa,"Somos una empresa argentina dedicada a la fabricación de **nanosensores**, orientados a la ciencia y a la educación de carácter innovador, que surge como una iniciativa del **Gobierno de Misiones**, a través de su **Ministerio de Educación, Ciencia y Tecnología** en colaboración con **SmartCultiva**, **Polo Tic** y **Marandu Comunicaciones S.E.**

Buscamos desarrollar soluciones tecnológicas IOT, para robótica educativa y ciudades inteligentes, con un concepto colaborativo y versátil.","Tecnología IoT, Robótica Educativa, Ciudades Inteligentes",,Calle 62 y 229|Paraje Nemesio Parma|Parque Industrial Posadas|ciudad de Posadas|provincia de Misiones,Misiones,Posadas,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/c7bd79fa-b51f-4d06-aa30-b7304e7da350.png,,"**Soluciones para COVID-19**

Los termómetros infrarrojos inteligentes IOT están diseñados y desarrollados para ofrecerte la máxima precisión en tus mediciones de temperatura en personas, objetos y ambientes.|**Sensores CO2 IOT / NDIR**

Los CO2 Sensores IOT detectan altas concentraciones de CO2 en espacios cerrados, para evitar ambientes viciados y contribuir a la lucha contra el Covid-19.|**Soluciones para Educación**

Los módulos educativos FANIOT, introducen al estudiante en los trabajos del futuro, vinculados a la robótica y a la programación.|**Robótica Educativa**

El **FanBorg** es un Robot Interactivo, 100% integrado con WiFi, con el que podrás explorar la Robótica Móvil de una manera novedosa.|**Ciudades Inteligentes**

Todos los nanosensores desarrollados poseen tecnología IOT y alimentación solar -mediante paneles de máxima eficiencia energética - que pueden ser empleados para medir y monitorear en tiempo real la concentración de gases
de efecto invernadero y/o la presencia de contaminantes, ...",,"Ofrecemos soluciones para el desarrollo de ciudades inteligentes y una educación
innovadora.",,hola@faniot.com.ar,Calle 62 y 229 Paraje Nemesio Parma Parque Industrial Posadas ciudad de Posadas provincia de Misiones,https://faniot.com.ar/,
Qumir Nano S.A.,Empresa,,"La nanobiotecnología es un campo que introduce las propiedades biológicas especiales de las nanoestructuras y sus aplicaciones en ámbitos como la agricultura. En Qumir Nano, combinamos las mejores propiedades de los mundos químico y biológico y utilizamos nuestra colección de nanofábricas (bacterias u hongos) para sintetizar bio-nanopartículas de plata, zinc y cobre con cubiertas orgánicas distintivas.

Nuestras bionanopartículas de plata tienen una excelente actividad antimicrobiana y son capaces de controlar la enfermedad de la raya roja en la caña de azúcar. Actualmente, estamos realizando ensayos in vivo para otras enfermedades relevantes de la caña de azúcar. Todo el proceso desarrollado por Qumir Nano es escalable, sostenible y rentable. El uso de nuestras bio-nanopartículas puede extenderse, por ejemplo, a la formulación de cócteles de nanofertilizantes.",,,Av. Libertador 1920|Capital Federal,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/88d935be-b957-4972-9921-42e521de8109.png,,,,,,,"-34.58193388629539, -58.40115929323006",,
FabriQuimica S.A.U.,Empresa,Empresas|Empresa,"Desde 1961, inspirando y sirviendo al mercado mundial de materias primas destinadas principalmente a la industria cosmética y farmacéutica.
Nuestros 55 años nos avalan para estar siempre a la vanguardia en innovación, calidad, trazabilidad y superar constantemente los estándares productivos.
Realizamos asesoramiento integral y soluciones tecnológicas cubriendo las necesidades de cada cliente, brindamos soporte y formulaciones de avanzada.
Realizamos trazabilidad de lotes de fabricación de las materias primas que producimos.
Mantenemos una actividad científica activa, participando con trabajos en los congresos nacionales e internacionales de Química Cosmética.
Creamos y desarrollamos nuevos productos, siendo premiados en varias oportunidades.
Innovación, investigación e inversión para el logro de productos de primer nivel bajo normas ISO 9001:2008
Productos inscriptos en Personal Care Products Council.",,,"España 3313, (B1650IJA), Villa Lynch, San Martín, Buenos Aires, Argentina",Buenos Aires,San Martín,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/568d8ffe-b89a-4ae8-b9bc-31bceb57591a.gif,,,,"- Formulaciones para el desarrollo de su línea cosmética.
- Envío de hojas de seguridad de producto.
- Asesoramiento sobre los productos obtenidos a partir de las materias primas de fabriQuimica.
- Asesoramiento sobre métodos de producción de productos cosméticos.
- Presentaciones a clientes de alto impacto.
- Comercio exterior para el despacho de materias primas argentinas a cualquier país del mundo.
- Asistencia técnica sobre parámetros de calidad de materias primas y productos finales.
- Principales regulaciones a atender en el mercado de la cosmética.",(+54 11) 4753-0894/3470,info@fabriquimica.com,"España 3313, (B1650IJA), Villa Lynch, San Martín, Buenos Aires, Argentina",www.fabriquimica.com,
West Lubricantes S.A.,Empresa,Empresas,"Somos una empresa argentina con 50 años de experiencia en la formulación y elaboración de aceites y grasas lubricantes.

Contamos con una planta de producción y un laboratorio de investigación y desarrollo, creado para testear todas nuestras materias primas y productos terminados, garantizando la excelencia en su desempeño.

Brindamos una amplia gama de aceites lubricantes y grasas adaptadas a diferentes necesidades del mercado, lo que permite dividir nuestros productos en 3 líneas: Industrial, Automotriz y Ferretería.

Nuestro sistema de gestión, trabaja bajo Normas IRAM / ISO 9001/2008 y IQNET 9001/2000. Asimismo nuestros productos cumplen las más estrictas normas de control: API, SAE, ISO NLGI, AGMA y MIL.

El conocimiento, experiencia y trayectoria en el rubro conjugan en la prestación de servicios a terceros, como ser la producción y almacenaje de lubricantes y grasas, desarrollo de productos especiales, laboratorio y asesoramiento técnico para las mas diversas necesidades.

Conscientes de las dema...",Productos químicos,,Tres Arroyos 329|Haedo|Provincia de Buenos Aires.,Buenos Aires,Haedo,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/788fb83e-0ac0-43ee-bdec-44bad691637c.png,,"Usar la nanotecnología para fabricar aceites lubricantes más eficientes energética y medioambientalmente es el objetivo de West Lubricantes.

West Lubricantes se encuentra asociada al Conicet, dentro del marco de un proyecto del Ministerio de Ciencia y Tecnología de la Nación , constituyendo una E.B.T. ( empresa de base tecnológica ) con el propósito de producir a escala de planta piloto un nanobiopolímero que tendrá entre otros usos la función de ser aditivo para la elaboración de nuestros productos.

Los nanobiopolímeros tienen múltiples aplicaciones transversales, desde componentes de electrónica flexible, hasta salud y medicina, pasando por envases o recubrimientos, para diversos usos y demandas.

Estamos orgulloso de estar a la vanguardia en desarrollo e investigación tecnológica.",,,011 - 4483 0240,info@westlubricantes.com.ar,"-34.641437021325764, -58.608447712017885",http://www.westlubricantes.com.ar,
